population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
159,100.5922,61.40987,4.845565,94.45407
161,100.6347,61.47869,4.848066,94.38953
165,100.7393,61.36111,4.854705,94.25092
162,100.6132,61.21042,4.856041,94.52486
164,100.7636,61.20889,4.856817,94.50146
163,100.8259,61.14215,4.853648,94.2767
161,100.9982,60.97686,4.838526,94.20946
160,100.9738,61.0092,4.831122,94.07324
158,101.0218,60.92621,4.82408,93.96421
155,100.8733,60.80161,4.816265,93.93761
151,100.7767,60.93552,4.821807,94.16183
147,100.7743,60.87075,4.826011,94.06493
142,100.9253,60.73452,4.838675,94.0881
143,100.7986,60.66267,4.833823,93.7742
144,100.7073,60.38116,4.853534,93.48245
142,100.7668,60.26229,4.853708,93.39594
141,100.8687,60.26553,4.854054,93.45009
143,100.984,60.3652,4.846082,93.38475
143,101.0353,60.43421,4.8568,93.31399
149,101.2927,60.62993,4.858649,93.1471
152,101.3705,60.54552,4.850132,92.76208
151,101.1055,60.38717,4.850966,92.96194
151,101.2151,60.44531,4.856689,93.10139
152,101.1418,60.28173,4.864134,93.2834
148,101.0159,60.29649,4.868498,93.34247
149,100.9331,60.39472,4.853251,93.4977
149,100.9963,60.26529,4.839187,93.30023
154,101.1704,60.38869,4.822785,93.08798
156,101.2989,60.30218,4.825962,93.1637
162,101.3953,60.31826,4.845024,93.08197
165,101.292,60.37362,4.844799,93.17946
163,101.3966,60.22766,4.842893,93.0899
161,101.38,60.19894,4.838152,92.87263
160,101.3328,60.18529,4.815458,92.83904
166,101.4093,60.17453,4.811191,92.93982
162,101.7096,60.21214,4.800612,93.39218
162,102.0572,60.14277,4.788633,93.40234
163,102.0123,60.19312,4.782199,93.33679
158,102.0638,60.23296,4.781425,93.32796
157,101.8338,60.11129,4.797723,93.15227
161,102.001,60.14315,4.813994,93.12267
156,102.4072,59.99316,4.807097,93.37121
158,102.7918,59.85398,4.799749,93.36877
153,102.7857,59.98833,4.793375,93.26642
148,102.8624,59.8951,4.790565,93.09251
145,103.0392,59.88169,4.777782,92.74617
148,103.2401,59.662,4.774735,92.78182
147,103.2877,59.48106,4.781301,92.84645
145,103.2272,59.47454,4.796454,92.81772
140,103.2382,59.55819,4.782617,92.8627
139,103.1823,59.57438,4.787918,92.88029
142,103.237,59.43132,4.776764,92.91654
148,103.6696,59.48692,4.773236,93.01315
147,103.8632,59.42256,4.768391,92.97922
149,103.679,59.28165,4.760629,92.64938
149,103.6827,59.15922,4.769566,92.59682
156,104.0059,58.98422,4.783867,92.74887
161,104.0982,58.63404,4.792497,92.79421
164,104.0508,58.57964,4.770858,92.7878
164,104.0243,58.70317,4.757257,92.88361
165,103.8736,58.8461,4.746348,92.66354
168,103.7349,58.85376,4.742138,92.61835
167,103.8793,58.94185,4.74883,92.4604
162,104.1908,59.26745,4.753424,92.60441
159,104.3918,59.34299,4.765073,92.52666
158,104.3062,59.34039,4.752859,92.76421
154,104.134,59.64127,4.748467,92.60967
150,104.1591,59.76598,4.751324,92.63275
143,104.1095,59.50108,4.764896,92.45121
141,104.1307,59.62933,4.765198,92.39761
138,103.9093,59.56559,4.736053,92.2102
139,104.075,59.73127,4.732155,92.32532
142,104.3161,59.55848,4.754843,92.22537
143,104.1261,59.72881,4.764128,92.30359
140,104.0548,59.81015,4.761523,92.42138
144,104.1124,59.90393,4.756231,92.43228
149,103.9946,59.73709,4.755328,92.32854
152,104.0061,59.7162,4.75756,92.41501
153,103.9175,59.83091,4.754862,92.57085
152,103.8915,59.86157,4.749393,92.51888
155,103.8763,60.00107,4.732233,92.52824
151,103.7717,60.04635,4.72637,92.65408
157,103.8179,60.03357,4.734374,92.72946
155,103.7203,60.1344,4.71692,92.67713
155,104.1086,60.19331,4.701702,92.55181
152,104.0986,60.29073,4.691728,92.51762
153,103.894,60.24776,4.691683,92.44385
151,103.9932,60.13647,4.672289,92.54613
152,103.5987,60.17255,4.654366,92.7884
157,103.7796,60.31799,4.658702,92.61531
156,103.9689,60.48338,4.653852,92.66569
153,103.9245,60.59512,4.658634,92.74112
160,103.6499,60.64908,4.64463,92.88641
154,103.6633,60.94537,4.62792,93.20266
158,103.7042,60.83069,4.634931,93.02649
152,103.5843,60.75896,4.626662,92.93831
151,103.416,60.76904,4.626959,93.00333
148,103.4894,60.99117,4.618125,93.05365
148,103.3553,60.96151,4.616129,93.02986
142,103.2776,60.81242,4.617232,92.96781
141,103.3296,60.66478,4.631907,92.82796
142,103.1122,60.6731,4.648917,92.99844
137,103.0704,60.77643,4.651278,92.77766
145,103.3101,60.85189,4.64908,92.59312
147,103.5611,60.69971,4.665126,92.53107
150,103.5051,60.57722,4.653442,92.50908
148,103.5258,60.46366,4.663241,92.41087
152,103.4039,60.52009,4.67463,92.3734
149,103.4718,60.58437,4.681023,92.1562
157,103.1437,60.45192,4.671531,92.00932
157,103.2286,60.55411,4.663095,92.00182
156,103.2856,60.66401,4.661021,92.13113
157,103.3293,60.50039,4.660347,92.16513
157,103.3926,60.58218,4.65701,92.23576
156,103.4186,60.40346,4.648468,91.82796
155,103.2523,60.35922,4.64437,91.781
153,103.2017,60.39573,4.641974,91.73158
156,103.1125,60.50697,4.645205,92.02688
158,102.9911,60.46921,4.632421,92.23791
152,103.1796,60.62333,4.648155,92.26652
150,102.703,60.7436,4.655569,91.90725
146,102.8238,60.82289,4.63584,91.75872
146,102.8252,60.73265,4.636113,91.75419
141,102.9465,60.72485,4.629825,91.53597
139,102.9128,60.76529,4.602981,91.77954
146,103.0038,60.91306,4.584432,92.05143
143,102.9304,60.85844,4.581907,91.87926
139,103.0316,60.78134,4.587371,91.86462
141,102.9554,60.79478,4.602362,91.63153
145,102.7873,60.76279,4.610598,91.49947
146,102.8128,60.5534,4.601643,91.61488
149,102.8857,60.72483,4.632319,91.6224
152,102.848,60.74162,4.624036,91.4826
151,102.8261,60.65254,4.623592,91.36555
158,103.0205,60.65499,4.608332,91.36963
168,102.7586,60.59822,4.590825,91.3605
171,102.7835,60.69012,4.593544,91.34947
176,102.6206,60.87297,4.59789,91.34087
177,102.8573,60.97178,4.585316,91.50388
171,103.1035,60.86206,4.594608,91.44903
170,103.1238,61.11439,4.600628,91.44032
168,103.3233,61.11351,4.588284,91.58611
166,103.6176,61.29074,4.59609,91.63917
159,103.3796,61.14346,4.603817,91.62953
163,102.9712,60.97606,4.611145,91.65693
162,102.9911,60.92098,4.609623,91.91997
155,102.9149,60.75801,4.593158,92.10217
150,102.9287,60.74857,4.595964,92.46793
146,102.9106,60.73365,4.615895,92.40519
144,103.0116,60.73486,4.601288,92.21915
144,102.6669,60.54831,4.633717,92.51016
148,102.6531,60.631,4.631827,92.49371
148,102.6752,60.75912,4.630213,92.65033
151,102.5686,60.81536,4.615434,92.58778
159,102.5593,60.57731,4.626005,92.5451
159,102.6619,60.53408,4.624406,92.64481
163,102.5248,60.51653,4.624961,92.86938
168,102.2361,60.5025,4.636249,92.91178
169,102.2118,60.38249,4.630411,92.72741
171,102.1071,60.54037,4.627401,92.92027
167,102.3398,60.56756,4.628334,93.06322
168,102.2573,60.43188,4.628571,93.07969
166,102.0773,60.37579,4.651511,92.92619
162,102.4558,60.26895,4.643651,92.84148
158,102.591,60.19027,4.667126,92.87121
146,102.9273,60.12155,4.66912,93.03741
142,102.8633,59.50149,4.686185,93.41315
136,102.5434,59.47708,4.699868,93.68015
132,102.3522,59.71918,4.685479,93.58203
131,102.3339,59.98467,4.679648,93.39463
128,102.2348,59.69663,4.672683,93.62096
120,102.1003,59.61597,4.657673,93.42786
115,102.0344,59.48829,4.659124,93.69749
115,101.9677,59.65683,4.645381,93.87431
111,102.056,59.52224,4.645737,93.84006
104,102.1464,59.44201,4.679415,93.667
98,102.3728,59.55305,4.710537,93.78156
102,102.3957,59.58135,4.702378,93.66756
104,102.3868,59.70368,4.691234,93.91653
104,102.5661,59.77323,4.68461,93.87402
102,102.6429,59.75132,4.686363,93.7539
104,102.9112,59.68237,4.709132,93.60786
105,103.0349,59.67918,4.729785,93.30574
107,102.9799,59.68629,4.723927,93.3587
109,103.0513,59.96195,4.722646,93.33315
112,103.0415,59.86703,4.707354,93.46589
112,103.1671,59.87799,4.707646,93.42406
115,103.2061,59.89102,4.733333,93.44553
118,103.5381,59.82578,4.726794,93.23429
121,103.7804,59.47895,4.700752,93.31908
123,104.0764,59.49092,4.726683,93.50214
129,104.0188,59.58076,4.715521,93.39238
131,103.8563,59.3777,4.73954,93.56011
132,103.9134,59.23984,4.75557,93.59658
129,103.8786,59.25328,4.766065,93.61024
136,103.6096,59.15812,4.760733,93.45853
138,103.5657,59.23572,4.745323,93.58147
150,103.7495,59.20967,4.733102,93.80962
147,103.7521,59.01236,4.711078,93.80072
147,103.6448,59.09342,4.710953,93.84816
148,103.8608,58.94874,4.706077,93.69505
147,103.8306,58.70449,4.689682,93.75585
152,103.6854,58.71828,4.683911,93.63952
150,103.5661,58.8173,4.68122,93.8364
152,103.7754,58.75896,4.659654,93.5832
151,104.0055,58.96142,4.636609,93.35327
158,104.1182,58.5995,4.629041,93.52792
163,103.8328,58.2371,4.617692,93.55459
163,103.7963,58.07809,4.631567,93.52154
158,103.7255,58.3025,4.615433,93.71202
160,103.9404,58.629,4.60849,94.04433
159,103.937,59.01052,4.578011,93.97093
155,103.8749,59.05423,4.566462,93.70803
160,103.978,58.98706,4.57718,93.82076
156,104.0167,58.99734,4.561263,93.79545
153,104.1335,59.1765,4.558848,93.52602
153,104.0915,58.83883,4.542286,93.6945
153,104.4414,58.72225,4.546035,93.84364
158,104.3117,58.41351,4.579599,93.89193
162,104.3308,58.14624,4.662905,94.13938
161,104.26,58.26373,4.66513,94.26559
163,104.1956,58.28809,4.671357,94.3068
154,104.143,58.4082,4.68016,94.30969
152,104.0308,58.20451,4.683654,94.24194
153,104.1885,58.19724,4.701898,94.1819
148,104.1181,58.0086,4.712099,94.07719
143,104.3035,57.75375,4.728338,94.1997
140,104.462,57.64378,4.73456,94.10508
132,104.5599,57.89864,4.748479,93.98991
136,104.2936,57.82161,4.791901,93.82458
140,104.6838,57.94198,4.805061,93.87483
136,105.1503,57.98269,4.805331,93.78552
135,105.2535,58.00035,4.803432,93.79816
132,105.4251,58.14936,4.732318,93.69133
130,105.488,58.19423,4.715599,93.55787
129,105.5859,58.19694,4.696661,93.37357
136,105.7481,58.30378,4.681923,93.26193
136,105.6844,58.18913,4.685916,93.26882
135,105.578,58.29621,4.705784,92.90198
138,105.3276,58.22707,4.680918,93.02464
138,105.3678,58.11053,4.698549,93.07733
135,105.4881,58.12013,4.685226,93.09195
133,105.6356,58.14259,4.686105,93.05567
131,105.3755,58.14181,4.6499,93.19743
129,105.3608,58.60863,4.635271,93.05356
127,105.3138,58.51757,4.629866,93.04196
132,105.4899,58.35406,4.620691,92.73399
134,105.2434,58.27359,4.617374,92.80749
130,105.2471,58.52944,4.617705,92.65544
129,105.0657,58.38041,4.616197,92.65855
127,104.8546,58.55015,4.592501,92.65384
130,104.8248,58.32465,4.583611,92.5264
131,104.7671,58.48681,4.58847,92.34011
129,105.0094,58.41661,4.606226,92.32299
128,105.0321,58.40002,4.583561,92.19975
125,105.7488,58.50746,4.53823,92.18507
123,105.647,58.5629,4.536147,91.92919
121,105.4427,58.24306,4.511825,91.94852
122,105.6578,58.15044,4.498114,91.93121
123,105.6499,58.76667,4.481826,91.60543
121,105.8539,58.46244,4.490438,91.55195
122,105.9632,58.58255,4.484833,91.41618
121,105.9913,58.75163,4.478991,91.46833
124,106.3574,58.90736,4.487699,91.34283
122,106.7251,59.09355,4.485927,91.26913
123,106.917,59.36674,4.470308,91.32396
121,106.9353,59.38765,4.476861,91.49755
118,107.2172,59.24387,4.484896,91.4383
118,107.0984,59.09395,4.494499,91.36804
119,107.1024,58.98071,4.503592,91.33565
125,107.2432,59.15709,4.510213,91.14494
127,107.4225,59.11819,4.508049,90.9707
129,107.6926,59.14571,4.499706,91.03653
130,107.709,59.10566,4.513411,91.0742
131,107.7372,59.10078,4.517979,91.10443
143,107.4684,58.61916,4.545648,91.05576
140,107.2569,58.91831,4.520862,91.06245
142,107.2279,58.81701,4.521769,91.06084
148,107.3469,58.86512,4.523635,91.17712
150,107.4418,59.08276,4.52704,91.22791
153,107.2531,59.04388,4.528062,91.28522
156,107.4211,59.03448,4.539952,91.32923
156,107.7117,59.21156,4.526494,91.31685
158,107.9639,59.30137,4.544061,91.36223
157,107.8901,59.26425,4.537233,91.35798
161,107.6863,59.11225,4.55357,91.25893
161,107.8023,59.42168,4.545216,91.30559
163,107.759,59.47021,4.535734,91.37041
166,107.5892,59.52079,4.548576,91.40177
168,107.435,59.18463,4.550619,91.28333
165,107.3755,59.1965,4.541885,91.4138
159,107.248,59.40768,4.530484,91.51833
159,107.2818,59.47849,4.516399,91.56087
160,107.2135,59.41879,4.531137,91.57312
159,107.467,59.55855,4.522363,91.50122
155,107.51,59.55246,4.525904,91.33582
154,107.5735,59.50273,4.546875,91.29467
158,107.526,59.65686,4.534351,91.31887
157,107.435,59.61903,4.525126,91.37032
159,107.4693,59.62985,4.514699,91.51883
157,107.4364,59.69002,4.52671,91.45502
152,107.2816,59.55806,4.554025,91.38887
146,106.9864,59.21703,4.566668,91.60426
144,107.2884,59.19173,4.544614,91.58063
147,107.545,59.34687,4.549619,91.49731
144,107.0388,58.82436,4.54364,91.33022
144,106.8324,58.76025,4.530859,91.05312
143,106.8623,58.67552,4.523506,91.05867
139,106.7762,58.75082,4.509368,91.06914
138,106.6739,58.7952,4.523161,91.15278
133,106.7308,58.91991,4.516556,91.17371
129,106.7902,58.43067,4.510088,91.32917
124,106.4478,58.27163,4.5127,91.20872
120,106.5067,58.25818,4.51798,91.10214
120,106.4921,58.17484,4.517775,91.03914
113,106.6819,58.16871,4.540444,91.04089
111,106.7094,57.99805,4.528526,91.04742
109,106.6354,58.2299,4.486056,91.1552
107,106.6451,58.09622,4.498459,91.12298
105,106.6714,58.11552,4.502916,91.10014
108,106.8188,58.18052,4.506937,91.0156
109,106.7792,58.02422,4.505763,90.93555
108,107.0717,58.29071,4.521497,90.94795
111,107.207,58.22224,4.51909,90.99096
106,107.2241,58.35581,4.532485,90.91942
104,106.8798,58.31244,4.539246,90.85844
99,106.5008,58.14503,4.538733,90.77688
102,106.2506,57.88704,4.513381,90.83954
101,106.2099,57.66014,4.524951,90.98256
95,106.0902,57.56237,4.538999,91.06546
93,106.035,57.46508,4.543955,91.09448
90,106.2849,57.57542,4.555521,90.90652
93,106.1577,57.2469,4.539066,90.83855
92,106.2205,57.60132,4.55001,90.96957
92,106.1459,57.91503,4.538402,91.02721
86,106.1382,57.96467,4.558609,91.24077
82,106.0258,58.05293,4.548792,91.3931
79,105.9403,58.20389,4.547818,91.44479
